societe;segment;secteur;email;telephone;adresse;facebook;lien_demo;expire_le;canal_conseille;fichier;objet;statut;date_envoi;reponse
Anila's choice;D;commerce;;+32 470 37 52 16;;https://www.facebook.com/anilaschoice/;https://dev.ineart.be/anila-s-choice/;10/08/2026;telephone;anila-s-choice-appel.txt;Votre site internet est déjà en ligne, Anila's choice;a_envoyer;;
Arti-cuir;B;commerce;xdestreille@hotmail.com;+32477 79 56 94;Rue du Pont 16, 4500 Huy;https://www.facebook.com/ArticuirHuy/;https://dev.ineart.be/arti-cuir/;10/08/2026;mail;arti-cuir.eml;Votre site internet est déjà en ligne, Arti-cuir;a_envoyer;;
Brasserie Hutoise;B;horeca;;+32 85 25 36 53;Rue Arbre Sainte-Barbe 1, 4500 Huy;https://www.facebook.com/profile.php?id=100080872171029;https://dev.ineart.be/brasserie-hutoise/;10/08/2026;telephone;brasserie-hutoise-appel.txt;Votre site internet est déjà en ligne, Brasserie Hutoise;a_envoyer;;
Crêperie Pile et Face;B;horeca;isabellet242@gmail.com;+32 476 72 23 88;;https://www.facebook.com/creperiepileetface/;https://dev.ineart.be/creperie-pile-et-face/;10/08/2026;mail;creperie-pile-et-face.eml;Votre site internet est déjà en ligne, Crêperie Pile et Face;a_envoyer;;
Espace Huy Medic;B;sante;info@huymedic.be;+3285313336;Chaussée de Liège 34;https://www.facebook.com/p/Espace-Huy-Medic-100057441168390/;https://dev.ineart.be/espace-huy-medic/;10/08/2026;mail;espace-huy-medic.eml;Votre site internet est déjà en ligne, Espace Huy Medic;a_envoyer;;
Frit'Huy;B;horeca;frit_huy@hotmail.com;+32 470 83 13 64;Rue des Rôtisseurs 12, 4500 Huy;https://www.facebook.com/FritHuy/;https://dev.ineart.be/frit-huy/;10/08/2026;mail;frit-huy.eml;Votre site internet est déjà en ligne, Frit'Huy;a_envoyer;;
L'ours à lunettes;D;commerce;infours70@gmail.com;+32 85 31 58 52;Grand'Place 9;https://www.facebook.com/people/Librairie-Lours-%C3%A0-lunettes/100075591890869/;https://dev.ineart.be/l-ours-a-lunettes/;10/08/2026;mail;l-ours-a-lunettes.eml;Votre site internet est déjà en ligne, L'ours à lunettes;a_envoyer;;
Le 31;D;horeca;;+3285 21 65 40;Avenue de l'Industrie 26, 4500 Tihange;https://www.facebook.com/Le-31-339458939593109/;https://dev.ineart.be/le-31/;10/08/2026;telephone;le-31-appel.txt;Votre site internet est déjà en ligne, Le 31;a_envoyer;;
Petits Plats Etc.;B;horeca;;+32472 70 78 14;;https://www.facebook.com/petitsplatshuy/;https://dev.ineart.be/petits-plats-etc/;10/08/2026;telephone;petits-plats-etc-appel.txt;Votre site internet est déjà en ligne, Petits Plats Etc.;a_envoyer;;
Caribouff;B;horeca;;;rue des Augustins 15;https://m.facebook.com/caribouff/;https://dev.ineart.be/caribouff/;10/08/2026;telephone;caribouff-appel.txt;Votre site internet est déjà en ligne, Caribouff;a_envoyer;;
